username,comment,time,likes,reply_count
@ProkoTV,Join the biggest online art community and learn alongside other artists by creating a free account on Proko - https://www.proko.com/signup,6년 전(수정됨),991,
@Mittsume3,I can’t even draw a box.,23시간 전,0,
@aquiRabisco,TOP,1일 전,0,
@bluefox5331,"""hopefully there'll be some interest and i can continue to make more for you guys""  It's wild watching this 13 years later. YOU HAVE NO IDEA! Also, oh my god, you look so young. It's so odd",5일 전,0,
@siyaghalam2829,❤,10일 전,0,
@murr0kag3,Oh my… I JUST DREW A HEAD LETS GOOOOO,13일 전,0,
@Mmkdrawing333,Anyone in 2025😂,3주 전,1,
@MohammedZaheerShaik-v7n,"Thanks, God bless",3주 전,0,
@BRYT538,First,3주 전,0,
@Jules-i5n,please post more for is,4주 전,0,
@Jules-i5n,"I love your lessons, but can you show how to draw the circle on the side plane please",4주 전,0,
@hebertsenac326,:washhands:,1개월 전,0,
@Thekrafter002,sir how to make eyes and nose,1개월 전,1,
@Snake_San,❤❤❤,1개월 전,0,
@RenjiniRajeswaran,How to practise this thing in various angle??🤔🤔,2개월 전(수정됨),1,
@drawingwithgiannispeciale,Fantastico,2개월 전,0,
@Mr.koolguy547,I was one when this was made,2개월 전,2,
@leamking0,i discovered this art community in 2025 and i love'em,3개월 전,0,
@ezgigenckaraman8124,Thanks 🎉❤,3개월 전,0,
@Fox_gamer-bc3hk,Perfeito só têm que traduzir para português,3개월 전,2,
@Alex-ze5fe,4 days ago what the hell,6년 전,9,
@Hernameis...,Bless you.,6년 전,5,
@BeyondManhattanTM,good lessons,6년 전,4,
@geralda.miraldi3535,Proko www.proko.com/videos,6년 전,3,
@MaZEEZaM,"Great stuff, hopefully those don't have the distracting music.",6년 전,1,
@GSBupi,"wow, so nice",6년 전,3,
@hindugoat2302,not fucking free with premium... you scam artist,6년 전,3,
@user-vl1op3vt2d,Hello ; how are you  Proko can you support me and make subscribes 😘😍🌹,6년 전,1,
@taqushxalachyan5700,Ayem nou aiem🤔🤔🤔🤔🤯🤯😰😨🧐🤪🤦🤷🙅🙎🙍,5년 전,1,
@numbersletters2920,Please i want to goe to art classes in college Please send link for this?,5년 전,2,
@sahabatsejati-riorizkimahe2983,"Proko 🤣😂 thanks alot, u make it simple and fun. Keep going bro",5년 전,1,
@yl7864,https://www.youtube.com/watch?v=dE5GHquJMHY&fbclid=IwAR2E68zSG-MoT5dK-rkznex64xi_KZayCiNggAkSv28YBc8uDtkslHv-g7s,5년 전,1,
@ll6996,@Proko.....I admire your work but please don't waste papers by tearing them..... hope you understand that....👍👍,5년 전,4,
@photomyself2,Poda pulla,5년 전,1,
@toddfranz6825,Hey Stan is your girlfriend screaming in the trunk? Jk sorry about eminem joke! I've got the head drawn does this link lead to features? Thanks,5년 전,1,
@creatvity_queen,Face draw learn,5년 전,1,
@sandeepsuthar8173,Thank you so much for the this video,5년 전,1,
@sandeepsuthar8173, @toddfranz6825  😇,5년 전,0,
@sandeepsuthar8173, @numbersletters2920  OK,5년 전,0,
@PersisRijo,Nice,5년 전,0,
@utpalarts4920,https://www.youtube.com/watch?v=K0B7aqrFvkc&t=308s,5년 전,0,
@walaafarooq220,بجد شرح بسيط وجميل  انت بجد فنان استمر,5년 전,0,
@homaingan,Proko 👌,5년 전,0,
@moizhadi2217,u r ooosome,5년 전,0,
@musaadhyahckoob8566,Proko check this out   https://youtu.be/qtDendTOxoo,5년 전,0,
@videofun_music7822,To the 0.667% of people reading this comment...plz see these videos of a young artist and pls support her :– https://youtu.be/SU6_plQWWbs Also this one..https://youtu.be/0ojW-Vt6KUo. These are the two paintings of her...I am very impressed with her. I am sure you too will be impressed with her...one last thing pls subscribe to her if you liked those videos...THANK U🙏🏻🙏🏻,5년 전,0,
@j.andrae,I watched some 20min vid and I never thought it could be explained further in just 5mins. Thank you!,5년 전,0,
@hirensharma5300,Easiest method🔥🤙👍👌,4년 전,0,
@nyharo9508,Thausk,4년 전,0,
@lukdra,gracias voy hacer todos 7 años de tutoriales,4년 전,0,
@lhilay_arts1872,Thanks for the tutorials 🤗😇😇😇,4년 전,0,
@andersoniker6119,You probably dont care at all but does anyone know of a way to log back into an instagram account? I was stupid lost my password. I appreciate any tricks you can offer me.,4년 전,0,
@MetriArt,👍,4년 전,0,
@ranendranathpradhan7120,",,,",3년 전,0,
@freddydon6120,Hey your really really really great dude like how u break it down,3년 전,0,
@freddydon6120,I want to draw better where should i start sir??? Honest question,3년 전,0,
