username,comment,time,likes,reply_count
@dalisayjohnson658,"This was FANTASTIC. I'm so inspired and going to practice, thank you!",1시간 전,0,
@angelahitchcock3313,"Amazing video love that you explained the types of dough also. Learning to make pasta, and really looking forward to it after this!",6일 전,0,
@jm-jx8xt,this guy is a wizard.  bravo,3주 전,0,
@NurKholifah-eh1px,"Interested in trying to make pasta with this method, with various pasta shapes for those who don't have pasta making tools.",3주 전,0,
@MünevverÖzdemir-j4p,WHY DONT YOU DO LİNGUİNİ?,1개월 전,0,
@victorteran4879,Excellent video thank you very much for sharing this wonderful and interesting video,1개월 전,0,
@emanjah,What do you use to finely flour dust those beautiful sheets of pasta?  So even and fine.,1개월 전,0,
@Greekspd,I want to know this guy makes the dough.,1개월 전,0,
@gorilionn,will i be making all of that? no. am i invested in this love story? yes. am i gonna save some money to go to itali restaurants? yup!,1개월 전,0,
@ElianaWeiss-w8j,"Totally enthralled watching you!  You are so skilled!  I just ordered a small gnocchi paddle, can't wait to make my own pasta!  Thank you, sir, very well done!",1개월 전,0,
@sharpshell2385,Fabulous!  What talent.  I want to thank Bon Appetit for all the recipes and lessons you taught me over the years~,2개월 전,0,
@agustinpalomo5896,The semolina is semola rimacinata or the coarse one ?,3개월 전,0,
@yummymotion-k1x,Fantastice👍🙋‍♀️,3개월 전,0,
@littlemissevel3607,Veal? 😬😢,3개월 전,0,
@PaulCyson,What about Conchiglie? Are they made with egg dough?,4개월 전,0,
@jumariano6995,12M views for a handmaid pasta What a success!  Congratulations 😊,4개월 전,0,
@samwest314,Such an excellent video. He's informative and concise. No yakity yak excessive talking or words. Just great information.,4개월 전,0,
@evelynpadilla7321,"How does one make Jumbo shell shaped pasta, Plz",5개월 전,0,
@truffleshuffl,"He trimmed down that big sheet to cut little circles out of it.. never getting that time back. none of us will. 12 million x 20 sec  I duno 4 million hours or something, spent watching him cut pasta off a piece that was never even gonna be within the cut he was going to make anyway. great video though. 5 stars .",5개월 전,0,
@donnaheyduk3139,", it’s for my first grandchild! Thank you for walking us through each step, you are so easy to follow!!",5개월 전,0,
@its_isabelafernand,I'm new to the channel,5개월 전,0,
@guyrich6467,are the recipes for the different doughs?,6개월 전,0,
@poonlickr445,Does anyone know why we cuts the dough with a knife but also with a scraper,6개월 전,0,
@MrGreg73,HOW IS THAT PASTA NOT ELASTIC AT ALL!?!?,6개월 전,0,
@tobiasstark4166,Do they need to dry to cook them?,6개월 전,0,
@benjaminlahsen6721,this is amazing :) !! can you share how to make the pasta perhaps? Best regards!!,6개월 전,0,
@dgaynor56,Who manufactures your sheeter?,7개월 전,0,
@cfs9828,Just WOW!!♥️,7개월 전,0,
@noncinque,5:23 дак это ж вареники!,7개월 전,0,
@jonahgregory2357,"this was like watching the olympics, fantastic",7개월 전,0,
@jodiscola211,Love  watching this,7개월 전,0,
@forestcatkay14,"This is an incredibly beautiful and well instructed video. I am wanting to make my own pastas because prices are getting high and homemade pasta just has a better taste. Can't wait to try out these pastas, the cuttlefish and spinach might hold off on.",7개월 전,0,
@pragawa,Amazing,7개월 전,0,
@DoesAnyoneElseSmellBurntToast,I don't wanna make it I want yours,8개월 전,0,
