username,comment,time,likes,reply_count
@BurritoSupreme42,Good luck,2개월 전,0,
@cambry4932,Debbie is doing quite well now! She's made a great life for herself and is now a creative director at a fashion company doing what she loves. She also has a husband and kids :),4개월 전,0,
@clonecommandermike332,Who's watching for school?,1년 전,0,
@El_Struggler,Debbie should charge a deposit for bulk orders to allow her to buy the materials she needs in advance. Just a suggestion. I hope you they all prosper.,1년 전,0,
@GravityK-b,Love or hate Young Turks for me at least this was a pretty informative documentary and from time to time even with some disagreements I have with them I still have to applaud and see where they do right.  It's a good way to learn about the world through different perspectives.,1년 전,0,
@jacobjordan22,can someone tell me 10 facts about this for my school asssignment,1년 전,1,
@Fruad_jo,22:24,1년 전,0,
@matthewingerson,Right-wing politics are pro-wealthy-class-autocracy politics. Right-wing politics are anti-working-class-democracy politics. Reject the right-wing politics of the autocratic wealthy-class minority and their mob-rule over the working-class majority.,1년 전,1,
@tobyrichardson4867,I wonder the pandemic affected these ppl?,1년 전,0,
@dankong9233,Anna and Cenk are bigots against trans people,2년 전,0,
@tm502010,"It’s so very easy to sneer at the “Poor” in this country, not understanding that a vast number of people are only barely afloat -including many of the people sneering… 😢",2년 전,1,
@TheVelvetLoungeLife,"Wow this was 8 years ago. I hope that Debbie uses recycle materials from thrift type stores. It would bring her cost down so low, she would think that she won the lottery. As my grandmother would have said, every little bit helps.",2년 전,0,
@RighteousRider17,Great Title: playing with words…  word smart,2년 전,1,
@rodrigop7423,"there is no such thing as making the system better, this whole facade should be dismantled",2년 전,0,
@knudsandbknielsen1612,"""To ensure a separation of powers, the U.S. Federal Government is made up of three branches:  Legislative, executive and judicial. To ensure the government is effective and citizens' rights are protected, each branch has its own powers and responsibilities, including working with the other branches.""  The banking system seems to be like ""The Money Police"", the fourth and very private branch, designed to drain society of money, which translates to power, and to oppress the poor majority into desperation and madness, and to make money grow inside tumours that look just like humans to the immune system of our Pavlovian senses.",2년 전,0,
@Stigmaballs,"""Keep your money, I want change.""",2년 전,0,
@LarryDRoncali,And yet we wonder why mental illness and addiction are skyrocketing across the board. Let’s not forget the Republicans want nothing more than to rug pull everyone.,2년 전,0,
@SgtStarSlayer,Going to university for an uncertain future with no cash to go to university? Blame it on your parents not able to secure the future of ones children? not the problem of the bank.,2년 전,0,
@kylesuperbaby9616,Capitalism is pure Evil,2년 전,2,
@jamesdunn6333,2 things. What's tragic is the people who SHOULD be hearing this message never will. And as the film was ending YouTube suggested an ad to sell my un-fertilized egg. Lol,2년 전,1,
@honorladone8682,I'm happy to have a lovely apartment .,3년 전,0,
@honorladone8682,I'm happy to have a lovely apartment .,3년 전,0,
@Sulfen,Wealthiest country in the world yet it all goes to the wealthiest people and corporations. We need to figure out our priorities.,3년 전,0,
@ixchelssong,This.,3년 전,0,
@kylebailey8950,I'd like to move over seas but don't know where. Anyone have any good ideas?,3년 전,0,
@rezo147,This is obviously before onlyfans they all could open one and be aight..,3년 전,0,
@jacknasty6940,It’s a system to keep you down and saddled with debt A lot easier to control those barely surviving,3년 전,0,
