username,comment,time,likes,reply_count
@jamesp.palamara6388,"Just to add my two cents, why was the Statue of Liberty not used as a muse for this theme. She is iconic draping , inclusive, red white and blue gold, with the the option of Adding a needed green and an eternal flame in fashion. I do not get how that’s missed. It’s right theres",3개월 전,1,
@jamesp.palamara6388,"AOCs courage was revolutionary. She went were the 1% go to evade taxes, by claiming there very presence is civil surface, and she said F U to the negligence  of the heart of the American people by those one percent. She took the power f design to the next level. She forced the privileged to reflect on their own cruelty.  I can not give her enough love: the fact she gt past the barrier to make her statement is a hero’s journey. This is historic!!! She is on the right side of everything including history and fashion.  Billy Elish, underwhelming and she had her own vice squashed and Hollywood agenda put upon her. She had so much she could have done. I’m guessing she regrets her chose. Though better to fade in the background then be torn apart. So I get it.  With all the racism that walks side by side with the red white and blue, I expected Tommy Hilfiger to be the coveted designer devout.  Debby harry was the only real patriotic look that came close to AOCs statement , in my opinion.  Your outfit was truly fabulous. So on point in this day and age.",3개월 전,0,
@shaelynnmoon8842,"Debra Harry knocked it out of the park. BEAUTIFUL dress & concept! I LOVE how tatteredness is implied. You really get the since of OLD GLORY and the Star Spagled Banner.  It brings the Star Spangled Banners lyrics to life as it is about an actual BATTLE and how they FOUGHT ALL NIGHT around the FLAG but in the morning it was STILL there. Hence the lyric ""gave proof through the night that our flag 2as still ther"".  BEAUTIFUL job 👏 And she no spring chicken but giving the younguns a run for the money and prooving she's STILL GOT IT.",6개월 전,0,
@shaelynnmoon8842,"Actually the forefathers at the time of independence were  COMPLETELY AGAINST TAXES. That's what the  BOSTON TEA PARTY was all a out and one of the MAJOR REASONS for wanying INDEPENDENCE.  Plus there were NO TAXES whatsoever back then, the government got ALL it's money through TARRIFFS up jntil the beginning of the 20th  century.  The tarrifs actually worked VERY WELL as the government had plenty of money for it's BUDGET without BURDENING the American people.  So it actually makes AOC look kind of IGNORANT to her countdies history.  Which is EXTREMELY SAD sin e she is a CONGRESSWOMAN and OWES it to her constituents to kNOW & UNDERSTAND our country's HISTORY  , what the FOREFATHERS INTENDED it to be, the PRINCIPLES it was ESTABLISHED on , HOW & WHY the forefathers chose to to do things they WAY they DID & WHAT they STOOD FOR and WANTED this COUNTRY to STAND FOR. So there's your daily HISTORY LESSON and dose of POLITICS.",6개월 전,0,
@shanonb8921,AHH HOW ARE YOU RATING FASHION IN THAT RIDICULOUS OUTFIT??,7개월 전,0,
@newyardleysinclair9960,Tax the rich. Who paid for AOCs ticket?,7개월 전,1,
@SomethingTennis,"Ooof, your outfit’s awesome today Luke!!! Well, awesome 3yrs ago since I’m late to discovering your channel😂",8개월 전,1,
@m92-c4e,ひとつひとつを見ていると、どこにアメリカが表現されているのだろうと疑問になるけど、 全体を通して見た時に国の不安定さや混乱する様を表しているように感じなくはない。 そもそも、こんな大掛かりなファッションイベントって今の世の中に必要? アメリカに限った話じゃないけど、一部の富や利権の象徴としていかにもアメリカ的な派手さだと思う。,8개월 전,1,
@alw87642,As an Alabamian I wanted to see a Billy Reid moment!!!,8개월 전,0,
@CR-ro3mq,I’m crying at you saying russel Westbrook and not Russel Wilson.,1년 전,0,
@emmatardif27,Kinda late here but I was thinking “what if the ‘prom dress’ vibe that it gives was intentional?” Cuz honestly prom is very American,1년 전,0,
@carmengrauwels,"Re-watching this  & although Amanda  Gorman s look is just uninteresting,  boring,  mehh. I do love her Olympia Le-Tan book clutch !   That saves this intire look. ✌🏻",1년 전,0,
@skitzochik,I hate hate hate Billie Eyelashes hair & make up...she's so pretty she could have done way better,1년 전,1,
@DagneZand,"Why the dresses get the smaller part of the screen? Lol, I want to look at the dresses more than the host.",1년 전,1,
@LittleKantBoy,"If I were rich I’d want to help design something to call out various inconsistencies in the supposed integrity of separation of church and state like swearing citizens in court into testimony “so help them God,” national currency and license plates reading “in God we trust,” and the pledge of allegiance calling the United States “one nation under God.” Secularism? America hasn’t heard of her.",1년 전,0,
@aviii9,Unpopular opinion: Billie looked bad,1년 전,2,
@dianneloveland3728,Met Gala— where environmentalist use remorse’s to have a look at me event.  Flying there in private jets.  Using resources for a self absorbed event.  They are hypocrites.,1년 전,0,
@giovannacaligiuri1475,"I believe Kim was referencing herself - her point was like 'my shape is so iconic is unmistakable' - my iconic shape IS America. Which, you know,... Also I guess Rihanna was referencing hip hop culture in a sort of beanie and oversize puffer jacket but make it a gown and add diamonds because I am a ghetto queen (?)",1년 전(수정됨),0,
@KismetKat11,I think they should install guards and if people aren’t dressed in the theme they can’t enter 🤣,1년 전,1,
@sophiaelayne9984,Russell Wilson.  Russell Wilson is Ciara's husband.,2년 전,0,
@frc0903,"Actually the forefathers never intended the American people to ride airplanes. Back then horses worked VERY WELL. Just go back to what the forefathers envisioned America to be. Ride horses, not airplanes.",4개월 전,0,
