username,comment,time,likes,reply_count
@lexfridman,Here are the timestamps. Please check out our sponsors to support this podcast. 0:00 - Introduction & sponsor mentions: - Eight Sleep: https://www.eightsleep.com/lex to get special savings - BetterHelp: https://betterhelp.com/lex to get 10% off - Athletic Greens: https://athleticgreens.com/lex to get 1 month of fish oil 2:33 - Amazon rainforest 13:47 - Discovery of the Amazon 18:24 - Werner Herzog 24:30 - Jane Goodall 38:19 - Anacondas 1:02:08 - Eaten Alive 1:14:32 - Joe Rogan 1:22:51 - Surviving in the Amazon 1:50:03 - Uncontacted tribes in the Amazon 1:59:58 - Surrounded by black caiman crocodiles 2:17:35 - Graham Hancock and ancient civilizations 2:23:06 - Aliens 2:53:08 - Climate change 2:58:19 - Jordan Peterson 3:15:41 - Hunting 3:22:57 - Ayahuasca 3:31:24 - Meaning of life,2년 전,1.1천,
@improvementTime10.3.17,30:06,2일 전,0,
@Nxtrice,"Of course he had to add oil propaganda. Global warming is well understood by the experts, there are zero questions, take your car to a receptionist instead of a mechanic if you don't know what an expert is. The oceans are rapidly acidifying, the forests are burning, the entire climate is in a state of collapse, the earth is literally dying. Only extreme stupidity or extreme uneducation could ever believe the rainforest was planted, it literally took millions of years of evolution to be created. Even the tiniest knowledge of the complexity of that ecosystem would know that as plain as day. A crazy level of ignorance and stupidity ruined a great podcast.",6일 전(수정됨),0,
@rickwrites2612,"1 hr in what really strikes me is just how easy it was to convert an illegal goldminer destroying the environment into a purveyor of ecotourism. It really drives home just how most of the smaller outfits (rather than the big multinationals or narcotraffico cartels) are just victims of global capitalism- desperate men born on the ""wrong"" side of the equator, trying to make a living in the only manner they see available to them. I wonder how many, if given an opportunity, would  prefer to be building eco-friendly lodges, teaching students and tourists about biodiversity, teaching Spanish or Ticuna or Quechua, helping scientists find, count and measure fauna, or  managing foreign labor on ""volunteerism vacations"".... it would be amazing to take the whole dirty industry and replace it with a positive one, something that still paid but that was safer and healthier for everyone involved, a win/win for everyone.     Obviously dealing with the multinational corporations and narcotriffico cartels wpuld be much harder and a whole nother ball game (though its interesting how once in the Amazon there is little difference between the two: they both employ private paramilitary mercenaries.)",8일 전,0,
@christianvonder,The monologue of the penguin was a reflection of himself in wild alone,10일 전,0,
@davidball7323,"whats the point of  fLx interviewing guests that have already been on rogan multiple times, so they can repeat the same thing again?",2주 전,0,
@theofficeguy1000,"At 0:22, he mentions the penguin that is going in the wrong direction. There are research stations inland in Antarctica that cause the wildlife, such as walruses, to lose their bearings. This is due to the lights and noise produced by these stations. It is the saddest sight to see these animals crying out to their group, so lost and doomed to die.",1개월 전,0,
@KarimHussain-b8v,Man how am I so late to this?? Great podcast and am only 30 mins in. Saw part of the Rogan podcast and found this,1개월 전(수정됨),0,
@FinnishArmy,"I fell asleep to this podcast and when he talked about hunting your own food, I had an entire vivid dream of finding my own moose and hunting it, was pretty cool",1개월 전,0,
@GUNSHIPFLEX,Paul is the best. Thanks Lex. Paul’s jacket is dope,1개월 전,0,
